"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1945,"Sitten",NA,482,520,9.4,NA,NA,NA,NA,NA,NA
1945,"St.Gallen",NA,776,1429.1,7.7,NA,NA,NA,NA,NA,NA
1945,"ZürichFluntern",1857.9,556,1012.1,9,NA,NA,NA,NA,NA,NA
1946,"BaselBinningen",1622.05,316,752.4,9.5,NA,NA,NA,NA,NA,NA
1946,"BernZollikofen",1697.88333333333,553,971.2,7.9,NA,NA,NA,NA,NA,NA
1946,"Davos",1693.6,1594,929,3,NA,NA,NA,NA,NA,NA
1946,"GenfCointrin",1782.71666666667,411,899,10,NA,NA,NA,NA,NA,NA
1946,"LocarnoMonti",2188.1,367,1961.8,11.5,NA,NA,NA,NA,NA,NA
1946,"Lugano",2036.3,273,1603.2,11.7,NA,NA,NA,NA,NA,NA
1946,"Luzern",1555.3,454,1112.7,8.9,NA,NA,NA,NA,NA,NA
1946,"Neuenburg",1666.2,485,939,9.4,NA,NA,NA,NA,NA,NA
1946,"Säntis",1643.2,2501,2222.2,-1.5,NA,NA,NA,NA,NA,NA
1946,"Samedan",NA,1709,655.7,1.5,NA,NA,NA,NA,NA,NA
1946,"Sitten",NA,482,566.2,9.2,NA,NA,NA,NA,NA,NA
1946,"St.Gallen",NA,776,1274.3,7.5,NA,NA,NA,NA,NA,NA
1946,"ZürichFluntern",1649.43333333333,556,1094.8,8.6,NA,NA,NA,NA,NA,NA
1947,"BaselBinningen",1805.31666666667,316,513.7,10.5,NA,NA,NA,NA,NA,NA
1947,"BernZollikofen",1950.5,553,672.8,9.2,NA,NA,NA,NA,NA,NA
1947,"Davos",1789.5,1594,983.6,3.6,NA,NA,NA,NA,NA,NA
1947,"GenfCointrin",1958.8,411,868.8,10.9,NA,NA,NA,NA,NA,NA
1947,"LocarnoMonti",2309.1,367,1916.4,11.9,NA,NA,NA,NA,NA,NA
1947,"Lugano",2167.18333333333,273,1352.9,12.2,NA,NA,NA,NA,NA,NA
1947,"Luzern",1772.4,454,880.4,9.7,NA,NA,NA,NA,NA,NA
1947,"Neuenburg",1860.1,485,711.2,10.5,NA,NA,NA,NA,NA,NA
1947,"Säntis",1712.6,2501,2416.3,-0.9,NA,NA,NA,NA,NA,NA
1947,"Samedan",NA,1709,581.4,2.3,NA,NA,NA,NA,NA,NA
1947,"Sitten",NA,482,521.1,10.3,NA,NA,NA,NA,NA,NA
1947,"St.Gallen",NA,776,1192.5,8.2,NA,NA,NA,NA,NA,NA
1947,"ZürichFluntern",1889.28333333333,556,874.8,9.4,NA,NA,NA,NA,NA,NA
1948,"BaselBinningen",1655.9,316,785.9,9.9,NA,NA,NA,NA,NA,NA
1948,"BernZollikofen",1796.3,553,944.1,8.5,NA,NA,NA,NA,NA,NA
1948,"Davos",1762.4,1594,1018.4,3.2,NA,NA,NA,NA,NA,NA
1948,"GenfCointrin",1794.05,411,927.8,10.1,NA,NA,NA,NA,NA,NA
1948,"LocarnoMonti",2350.1,367,1921.8,11.9,NA,NA,NA,NA,NA,NA
1948,"Lugano",2168.3,273,1602.4,12.4,NA,NA,NA,NA,NA,NA
1948,"Luzern",1624.1,454,973,9.3,NA,NA,NA,NA,NA,NA
1948,"Neuenburg",1663.3,485,910.6,9.7,NA,NA,NA,NA,NA,NA
1948,"Säntis",1875.3,2501,2651.9,-0.9,NA,NA,NA,NA,NA,NA
1948,"Samedan",NA,1709,704.1,2,NA,NA,NA,NA,NA,NA
1948,"Sitten",NA,482,487.6,9.7,NA,NA,NA,NA,NA,NA
1948,"St.Gallen",NA,776,1328.8,7.8,NA,NA,NA,NA,NA,NA
1948,"ZürichFluntern",1667.73333333333,556,889.2,8.9,NA,NA,NA,NA,NA,NA
1949,"BaselBinningen",1880.16666666667,316,568.6,10.4,NA,NA,NA,NA,NA,NA
1949,"BernZollikofen",2130.7,553,632.8,9,NA,NA,NA,NA,NA,NA
1949,"Davos",1851.6,1594,833.3,3.2,NA,NA,NA,NA,NA,NA
1949,"GenfCointrin",2020.21666666667,411,696.1,10.6,NA,NA,NA,NA,NA,NA
1949,"LocarnoMonti",2549.5,367,1424.1,12.4,NA,NA,NA,NA,NA,NA
1949,"Lugano",2329.4,273,1208,12.7,NA,NA,NA,NA,NA,NA
1949,"Luzern",1892.3,454,747.6,9.6,NA,NA,NA,NA,NA,NA
1949,"Neuenburg",2064.6,485,688.4,10.2,NA,NA,NA,NA,NA,NA
1949,"Säntis",1930.7,2501,1916.5,-1.1,NA,NA,NA,NA,NA,NA
1949,"Samedan",NA,1709,477.7,1.9,NA,NA,NA,NA,NA,NA
1949,"Sitten",NA,482,407.2,10,NA,NA,NA,NA,NA,NA
1949,"St.Gallen",NA,776,1099.9,8,NA,NA,NA,NA,NA,NA
1949,"ZürichFluntern",1935.7,556,646.7,9.4,NA,NA,NA,NA,NA,NA
1950,"BaselBinningen",1589.71666666667,316,940.8,10,NA,NA,NA,NA,NA,NA
1950,"BernZollikofen",1834.1,553,1121.8,8.6,NA,NA,NA,NA,NA,NA
1950,"Davos",1696,1594,1043.9,2.8,NA,NA,NA,NA,NA,NA
1950,"GenfCointrin",1924.33333333333,411,932.5,10.4,NA,NA,NA,NA,NA,NA
1950,"LocarnoMonti",2283.1,367,1887.9,11.9,NA,NA,NA,NA,NA,NA
1950,"Lugano",2097.1,273,1609.3,12.2,NA,NA,NA,NA,NA,NA
1950,"Luzern",1659.8,454,1188.4,9.2,NA,NA,NA,NA,NA,NA
1950,"Neuenburg",1793,485,1084,9.7,NA,NA,NA,NA,NA,NA
1950,"Säntis",1765.2,2501,2275.3,-1.3,NA,NA,NA,NA,NA,NA
1950,"Samedan",NA,1709,727.5,1.5,NA,NA,NA,NA,NA,NA
1950,"Sitten",NA,482,627.9,9.6,NA,NA,NA,NA,NA,NA
1950,"St.Gallen",NA,776,1345.2,7.9,NA,NA,NA,NA,NA,NA
1950,"ZürichFluntern",1712.06666666667,556,1052.7,9,NA,NA,NA,NA,NA,NA
1951,"BaselBinningen",1412.41666666667,316,950.4,9.6,NA,NA,NA,NA,NA,NA
1951,"BernZollikofen",1607.2,553,1177.9,8.1,NA,NA,NA,NA,NA,NA
1951,"Davos",1558.9,1594,1049.1,2.9,NA,NA,NA,NA,NA,NA
1951,"GenfCointrin",1641.71666666667,411,985,9.6,NA,NA,NA,NA,NA,NA
1951,"LocarnoMonti",2060.5,367,2956.6,11.2,NA,NA,NA,NA,NA,NA
1951,"Lugano",1845.4,273,2224.3,11.5,NA,NA,NA,NA,NA,NA
1951,"Luzern",1443.7,454,1187.1,8.8,NA,NA,NA,NA,NA,NA
1951,"Neuenburg",1547.4,485,928.4,9.3,NA,NA,NA,NA,NA,NA
1951,"Säntis",1978.2,2501,2017.3,-1.5,NA,NA,NA,NA,NA,NA
1951,"Samedan",NA,1709,857,1.7,NA,NA,NA,NA,NA,NA
1951,"Sitten",NA,482,563.3,9.4,NA,NA,NA,NA,NA,NA
1951,"St.Gallen",NA,776,1460.6,7.8,NA,NA,NA,NA,NA,NA
1951,"ZürichFluntern",1489.08333333333,556,1076.8,8.6,NA,NA,NA,NA,NA,NA
